Game Title,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq,Console Freq,Genre Freq
Call of Duty 4: Modern Warfare,9.3,1.15,0.0,0.0,1.12,0.03,2007,1044,28,1560,1485
Mobile Suit Gundam: Federation vs. Zeon,7.101890450799806,1.14,0.12,0.88,0.1,0.03,2002,151,70,2125,1121
Hot Shots Golf: Out of Bounds,8.3,1.14,0.31,0.76,0.03,0.04,2008,568,12,1348,2596
The Lord of the Rings: The Return of the King,8.8,1.14,0.71,0.0,0.38,0.05,2003,843,3,836,2839
South Park,6.0,1.15,0.9,0.0,0.23,0.02,1998,195,21,278,1485
LEGO Worlds,7.101890450799806,1.14,0.21,0.04,0.72,0.17,2017,166,152,908,2003
Grand Theft Auto: The Trilogy,7.101890450799806,1.14,0.0,0.0,0.51,0.62,2005,93,22,2125,1893
Brave Fencer Musashi,8.4,1.14,0.25,0.65,0.17,0.07,1998,28,28,1130,1490
Shadow of the Colossus,9.1,1.14,0.78,0.2,0.03,0.13,2005,568,2,2125,1893
Action Bass,5.1,1.14,0.64,0.0,0.43,0.07,2000,53,439,1130,2839
Tenchu: Wrath of Heaven,7.101890450799806,1.14,0.44,0.25,0.34,0.11,2003,1044,9,2125,2839
Final Fantasy XV,7.101890450799806,1.14,0.72,0.01,0.3,0.11,2016,209,105,524,1490
Dance Dance Revolution Extreme 2,7.101890450799806,1.15,0.95,0.0,0.04,0.16,2005,769,12,2125,1121
LEGO Star Wars III: The Clone Wars,6.7,1.14,0.61,0.0,0.44,0.09,2011,138,152,562,2839
Mortal Kombat,8.3,1.14,0.85,0.0,0.19,0.1,2011,126,15,1302,871
Need for Speed Underground 2,7.101890450799806,1.14,0.7,0.01,0.39,0.03,2004,843,48,528,1431
LEGO Star Wars: The Video Game,7.4,1.14,0.82,0.0,0.3,0.02,2005,209,36,899,2839
007: Quantum of Solace,6.6,1.15,0.43,0.02,0.51,0.19,2008,1044,56,1348,1485
The Elder Scrolls V: Skyrim VR,7.101890450799806,1.14,0.47,0.01,0.47,0.19,2017,113,31,908,1490
Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),7.101890450799806,1.13,0.81,0.0,0.3,0.02,2006,383,28,899,1490
MechAssault,7.101890450799806,1.14,1.01,0.0,0.1,0.03,2002,92,8,836,1121
NCAA Football 14,7.6,1.13,1.01,0.0,0.0,0.12,2013,540,193,1302,2596
Derby Stallion 99,7.101890450799806,1.13,0.0,1.06,0.0,0.07,1999,23,9,1130,2596
SingStar,7.101890450799806,1.13,0.45,0.0,0.56,0.12,2008,568,59,1348,2003
Rocksmith,8.0,1.13,0.53,0.09,0.38,0.13,2011,1012,196,1348,2003
Rabbids Go Home,8.0,1.13,0.25,0.0,0.74,0.14,2009,1012,30,1357,1893
Fight Night Champion,8.4,1.13,0.45,0.0,0.5,0.18,2011,540,292,1348,871
Tom Clancy's Rainbow Six 3: Black Arrow,7.101890450799806,1.13,0.99,0.0,0.12,0.02,2004,1012,172,836,1485
Guitar Hero 5,9.0,1.13,0.65,0.0,0.37,0.11,2009,1044,52,1302,2003
Rocksmith,8.0,1.13,0.85,0.01,0.19,0.08,2011,1012,196,1302,2003
ModNation Racers,8.1,1.13,0.5,0.06,0.4,0.16,2010,568,6,1348,1431
Plants vs Zombies: Garden Warfare,8.0,1.13,0.54,0.0,0.5,0.09,2014,843,22,1302,1485
Jampack Winter '98,7.101890450799806,1.13,0.63,0.0,0.43,0.07,1998,568,29,1130,2003
Cars,4.5,1.13,0.81,0.0,0.3,0.02,2006,726,15,899,1431
Mirror's Edge,7.7,1.13,0.31,0.02,0.59,0.21,2008,843,10,1348,951
Spider-Man 2,7.7,1.12,0.82,0.0,0.26,0.04,2004,1044,56,836,2839
Call Of Duty 2: Big Red One,7.101890450799806,1.12,0.66,0.0,0.4,0.05,2005,1044,56,836,1485
Supercar Street Challenge,7.101890450799806,1.12,0.55,0.0,0.43,0.14,2001,1044,8,2125,1431
Crackdown 2,7.5,1.12,0.63,0.02,0.36,0.1,2010,92,1,1302,1485
WWE 2K14,7.6,1.12,0.64,0.0,0.38,0.1,2013,183,30,1302,871
Need for Speed: Most Wanted (2012),7.4,1.12,0.33,0.01,0.53,0.25,2012,843,31,680,1431
Dragon Age II,8.0,1.12,0.72,0.01,0.29,0.09,2011,843,20,1302,1490
Guitar Hero 5,7.101890450799806,1.12,0.28,0.0,0.3,0.54,2009,1044,15,2125,2003
The Beatles: Rock Band,8.7,1.12,0.67,0.0,0.29,0.15,2009,44,62,1348,2003
Moon Patrol,7.101890450799806,1.12,1.05,0.0,0.06,0.01,1983,335,72,126,1485
SOCOM: U.S. Navy SEALs Fireteam Bravo,7.9,1.12,1.03,0.01,0.0,0.08,2005,568,9,1340,1485
Transformers: The Game,7.101890450799806,1.11,0.63,0.0,0.37,0.11,2007,1044,152,2125,2839
Disney Infinity 2.0: Marvel Super Heroes,7.101890450799806,1.11,0.67,0.0,0.34,0.1,2014,199,69,1302,264
Metal Gear Solid HD Collection,7.101890450799806,1.11,0.52,0.0,0.44,0.14,2011,107,11,1348,2839
Mafia III,6.8,1.11,0.54,0.0,0.48,0.09,2016,121,2,524,264
NCAA Football 13,7.5,1.11,1.02,0.0,0.0,0.09,2012,540,193,1302,2596
Crash Bandicoot N. Sane Trilogy,6.0,1.12,0.44,0.02,0.57,0.09,2018,1044,38,263,951
Just Dance 2016,7.101890450799806,1.11,0.43,0.0,0.58,0.09,2015,1012,67,1357,147
Castlevania: Lords of Shadow,8.1,1.12,0.5,0.1,0.37,0.15,2010,769,8,1348,2839
Tom Clancy's Splinter Cell: Chaos Theory,9.4,1.11,0.68,0.0,0.38,0.05,2005,1012,172,836,2839
Red Dead Redemption: Undead Nightmare,10.0,1.11,0.61,0.02,0.38,0.1,2010,93,22,1302,2839
LEGO Marvel Super Heroes 2,7.101890450799806,1.11,0.33,0.0,0.6,0.18,2017,166,152,908,2839
Plants vs. Zombies,8.1,1.12,0.9,0.0,0.13,0.09,2011,24,22,2395,820
EA Sports UFC,7.101890450799806,1.11,0.49,0.01,0.43,0.18,2014,843,292,908,871
Rock Band,8.1,1.12,0.71,0.0,0.06,0.35,2007,44,62,2125,2003
NBA Jam Tournament Edition,7.101890450799806,1.12,0.95,0.0,0.14,0.03,1995,195,21,27,2596
Guitar Hero Encore: Rocks The 80s,7.101890450799806,1.11,0.92,0.0,0.04,0.15,2007,8,62,2125,2003
Lode Runner,7.101890450799806,1.1,0.0,1.1,0.0,0.0,1987,1,106,48,723
NBA Live 2001,7.101890450799806,1.1,0.52,0.04,0.4,0.13,2001,540,292,2125,2596
FIFA 18,5.8,1.1,0.35,0.13,0.55,0.07,2017,540,19,263,2596
SingStar Legends,7.101890450799806,1.1,0.12,0.0,0.75,0.23,2008,568,59,2125,2003
Petz Dogz 2,7.101890450799806,1.1,0.46,0.0,0.52,0.12,2007,1012,22,2395,1121
Megamania,7.101890450799806,1.1,1.03,0.0,0.06,0.01,1982,1044,101,126,1485
Jungle Hunt,7.101890450799806,1.1,1.03,0.0,0.06,0.01,1983,335,72,126,951
LEGO Star Wars III: The Clone Wars,6.3,1.1,0.62,0.0,0.38,0.1,2011,138,152,2395,2839
Need for Speed: ProStreet,7.101890450799806,1.1,0.53,0.0,0.45,0.12,2007,843,48,1357,1431
Famicom Jump: Eiyuu Retsuden,7.101890450799806,1.1,0.0,1.1,0.0,0.0,1989,151,43,48,1490
Guitar Hero 5,8.8,1.1,0.53,0.0,0.39,0.17,2009,1044,52,1348,2003
Skylanders SWAP Force,7.101890450799806,1.1,0.46,0.0,0.46,0.18,2013,1044,439,1348,2003
Medal of Honor: Airborne,7.101890450799806,1.1,0.45,0.01,0.52,0.12,2007,843,33,1302,1485
SingStar Rocks!,7.101890450799806,1.1,0.0,0.0,0.84,0.25,2006,568,59,2125,2003
Triple Play 98,7.101890450799806,1.1,0.61,0.0,0.42,0.07,1997,540,45,1130,2596
GRID,8.6,1.1,0.31,0.03,0.57,0.19,2008,168,75,1348,1431
Sonic Free Riders,4.9,1.1,0.75,0.0,0.25,0.1,2010,640,1,1302,1431
Bully: Scholarship Edition,8.1,1.09,0.53,0.03,0.42,0.11,2008,93,2,1302,2839
The Godfather,7.101890450799806,1.09,0.89,0.01,0.03,0.15,2006,843,7,2125,2839
Imagine: Babysitters,7.101890450799806,1.09,0.63,0.0,0.36,0.1,2008,1012,18,2395,1121
DJ Hero,8.4,1.09,0.59,0.0,0.39,0.11,2009,1044,10,1302,2003
WWE SmackDown vs. Raw 2011,7.101890450799806,1.09,0.44,0.01,0.46,0.18,2010,726,10,1348,871
Namco Museum Battle Collection,7.9,1.09,0.75,0.0,0.18,0.16,2005,175,9,1340,2003
NERF N-Strike,7.101890450799806,1.09,0.91,0.0,0.09,0.09,2008,843,17,1357,1485
Lightning Returns: Final Fantasy XIII,7.1,1.09,0.31,0.45,0.22,0.11,2014,209,439,1348,2003
Toy Story 3: The Video Game,7.5,1.09,0.51,0.0,0.41,0.17,2010,199,69,1348,2839
Madden NFL 2004,7.101890450799806,1.09,1.02,0.0,0.02,0.05,2003,540,193,836,2596
Skate 2,8.2,1.09,0.82,0.01,0.17,0.09,2009,843,48,1302,2596
NFL Blitz 2000,7.101890450799806,1.09,0.6,0.0,0.41,0.07,1999,255,36,1130,2596
Alien: Isolation,7.101890450799806,1.09,0.29,0.05,0.59,0.16,2014,640,9,908,1893
NFL 2K1,9.6,1.09,1.02,0.0,0.05,0.02,2000,640,134,49,2596
Star Wars: Bounty Hunter,7.101890450799806,1.09,0.53,0.0,0.42,0.14,2002,138,29,2125,1485
Dragon Ball Z: The Legacy of Goku II,7.6,1.09,0.78,0.0,0.29,0.02,2003,335,14,899,1490
Untold Legends: Brotherhood of the Blade,6.5,1.1,0.54,0.01,0.33,0.22,2005,13,9,1340,1490
Star Wars: The Force Unleashed,7.1,1.09,0.43,0.0,0.41,0.24,2008,138,42,1340,2839
The Simpsons Game,6.0,1.08,0.24,0.0,0.54,0.3,2007,843,58,1340,951
NASCAR Thunder 2004,7.101890450799806,1.08,0.53,0.0,0.41,0.14,2003,540,193,2125,1431
Dante's Inferno,7.3,1.08,0.64,0.04,0.28,0.12,2010,843,12,1348,2839
Fisherman's Bass Club,7.101890450799806,1.08,0.53,0.0,0.41,0.14,2002,61,9,2125,2596
Disney's Lilo & Stitch,8.0,1.08,0.77,0.0,0.29,0.02,2002,199,41,899,2839
Ready 2 Rumble Boxing,7.6,1.08,0.6,0.0,0.41,0.07,1999,255,46,1130,2596
FIFA Soccer 11,7.0,1.08,0.26,0.0,0.69,0.12,2010,540,292,1357,2596
Joust,7.101890450799806,1.08,1.01,0.0,0.06,0.01,1983,335,72,126,951
Star Fox: Assault,6.6,1.08,0.68,0.19,0.18,0.03,2005,383,114,528,1485
SpongeBob SquarePants: Revenge of the Flying Dutchman,7.101890450799806,1.08,0.53,0.0,0.41,0.14,2002,726,4,2125,951
Virtua Fighter 5,8.7,1.09,0.29,0.08,0.52,0.2,2007,640,29,1348,871
Tom Clancy's Ghost Recon 2,7.101890450799806,1.08,0.64,0.0,0.34,0.1,2004,1012,17,2125,1485
Pro Evolution Soccer 2014,8.3,1.08,0.03,0.51,0.46,0.08,2013,107,409,1348,2596
Grand Theft Auto: Chinatown Wars,9.2,1.08,0.28,0.03,0.5,0.27,2009,93,10,1340,1893
Dragon Ball Z: Taiketsu,3.8,1.08,0.77,0.0,0.29,0.02,2003,335,14,899,871
Pro Evolution Soccer 2008,7.101890450799806,1.07,0.08,0.04,0.9,0.05,2008,769,409,1302,2596
Spore Creatures,7.2,1.07,0.66,0.0,0.3,0.1,2008,843,1,2395,1121
Tomb Raider: Underworld,7.5,1.07,0.53,0.01,0.42,0.11,2008,209,45,1302,1893
Call of Duty 3,8.2,1.07,0.89,0.0,0.03,0.15,2006,1044,56,2125,1485
NHL 99,7.101890450799806,1.07,0.59,0.0,0.4,0.07,1998,540,292,1130,2596
MySims Agents,7.101890450799806,1.07,0.54,0.0,0.42,0.11,2009,843,58,2395,1893
Doko Demo Issyo,7.101890450799806,1.07,0.0,1.0,0.0,0.07,1999,568,1,1130,2003
World Tour Soccer,7.0,1.07,0.1,0.0,0.63,0.34,2005,568,59,1340,2596
Naruto: Ultimate Ninja Storm,7.8,1.07,0.49,0.09,0.34,0.15,2008,333,35,1348,871
Skylanders Giants,7.101890450799806,1.08,0.38,0.0,0.52,0.18,2012,1044,38,1348,2003
Virtua Fighter,9.0,1.08,0.17,0.77,0.12,0.02,1995,640,29,175,871
Marvel vs. Capcom 3: Fate of Two Worlds,8.4,1.08,0.79,0.03,0.18,0.08,2011,437,294,1302,871
Imagine: Fashion Designer New York,7.101890450799806,1.07,0.65,0.0,0.32,0.1,2008,1012,7,2395,1121
The Biggest Loser,7.7,1.07,0.86,0.0,0.12,0.09,2009,726,64,1357,2596
Championship Manager 99/00,7.101890450799806,1.07,0.0,0.0,0.98,0.09,2000,209,23,1560,2596
Tiger Woods PGA Tour 10,9.0,1.07,0.6,0.0,0.37,0.1,2009,540,193,1357,2596
The Orange Box,8.7,1.07,0.28,0.0,0.58,0.21,2007,843,3,1348,1485
WWE SmackDown vs. Raw 2010,7.101890450799806,1.08,0.53,0.0,0.01,0.54,2009,726,10,2125,871
Hot Wheels Turbo Racing,7.101890450799806,1.07,0.59,0.0,0.4,0.07,1999,843,22,1130,1431
LEGO Star Wars II: The Original Trilogy,4.9,1.07,0.96,0.0,0.03,0.08,2006,138,36,2395,2839
Ridge Racer Revolution,7.101890450799806,1.07,0.17,0.71,0.12,0.07,1996,175,114,1130,1431
Prince of Persia,8.3,1.0799999999999998,0.47,0.03,0.41,0.17,2008,1012,172,1348,1893
Endless Ocean,6.8,1.07,0.43,0.09,0.46,0.09,2008,383,12,1357,1893
Mercenaries 2: World in Flames,7.1,1.06,0.65,0.01,0.3,0.1,2008,843,33,1302,1485
Warhawk,8.4,1.06,0.49,0.0,0.39,0.17,2007,568,2,1348,1485
LEGO The Lord of the Rings,7.101890450799806,1.06,0.37,0.0,0.52,0.16,2012,166,439,1348,2003
Sonic Generations,6.3,1.06,0.44,0.01,0.52,0.08,2011,640,60,562,951
Mortal Kombat: Armageddon,7.4,1.06,0.88,0.0,0.04,0.14,2006,255,36,2125,871
Aliens vs Predator,6.0,1.06,0.55,0.0,0.4,0.11,2010,640,51,1302,1485
NBA Street V3,7.101890450799806,1.0699999999999998,0.52,0.0,0.41,0.14,2005,47,292,2125,2596
Simple 1500 Series Vol. 1: The Mahjong,7.101890450799806,1.06,0.0,0.99,0.0,0.07,1998,195,1,1130,2003
Spider-Man 2,7.0,1.06,0.76,0.0,0.28,0.02,2004,1044,41,899,951
Sega Superstars Tennis,7.0,1.06,0.28,0.0,0.65,0.13,2008,640,39,1357,2596
NFL Blitz,7.101890450799806,1.07,1.02,0.0,0.04,0.01,1998,255,36,278,2596
Seek and Destroy,5.6,1.06,0.52,0.0,0.4,0.14,2002,61,3,2125,1431
Football Manager 2013,7.101890450799806,1.06,0.0,0.0,0.96,0.1,2012,640,23,1560,2596
MLB The Show 18,7.101890450799806,1.06,0.86,0.0,0.0,0.2,2018,39,2,908,2596
NCAA Football 99,7.101890450799806,1.06,0.59,0.0,0.4,0.07,1998,540,193,1130,2596
Darksiders,7.8,1.06,0.67,0.01,0.28,0.1,2010,726,6,1302,2839
Freekstyle,7.101890450799806,1.0699999999999998,0.52,0.0,0.41,0.14,2002,47,12,2125,1431
DiRT 3,9.0,1.06,0.27,0.01,0.58,0.2,2011,168,75,1348,1431
Hulk,7.101890450799806,1.0699999999999998,0.52,0.0,0.41,0.14,2003,16,47,2125,2839
Lego Marvel Super Heroes: Universe in Peril,7.101890450799806,1.05,0.42,0.04,0.5,0.08,2013,166,44,562,2839
Disney Infinity,7.101890450799806,1.05,0.53,0.0,0.34,0.18,2013,199,439,1348,2003
NBA 2K3,7.101890450799806,1.05,0.51,0.0,0.4,0.13,2002,640,134,2125,2596
Adventure Island,7.101890450799806,1.05,0.0,1.05,0.0,0.0,1988,85,1,48,951
Derby Stallion 96,7.101890450799806,1.05,0.0,1.04,0.0,0.01,1996,23,5,197,2596
The Simpsons: Road Rage,7.101890450799806,1.05,0.78,0.0,0.26,0.01,2001,843,47,836,1431
Forza Motorsport,9.2,1.05,0.52,0.0,0.51,0.02,2005,92,5,836,1431
Rocksmith 2014,9.1,1.05,0.56,0.05,0.26,0.17,2013,1012,12,1348,147
DiRT,8.3,1.05,0.16,0.0,0.66,0.23,2007,168,75,1348,1431
Dave Mirra Freestyle BMX,7.4,1.05,0.91,0.0,0.11,0.03,2000,195,18,1130,2596
The Evil Within 2,7.101890450799806,1.05,0.31,0.09,0.49,0.15,2017,113,6,908,2839
Disney Universe,7.101890450799806,1.05,0.66,0.0,0.28,0.1,2011,199,15,1357,2839
Virtua Tennis 3,7.101890450799806,1.05,0.23,0.03,0.58,0.21,2007,640,5,1348,2596
Tag Team Match M.U.S.C.L.E.,7.101890450799806,1.05,0.0,1.05,0.0,0.0,1986,151,70,48,871
Sonic & SEGA All-Stars Racing,8.3,1.05,0.43,0.0,0.51,0.11,2010,640,39,2395,1431
Imagine: Animal Doctor,7.101890450799806,1.05,0.45,0.0,0.48,0.11,2007,1012,7,2395,1121
UFC Undisputed 3,7.101890450799806,1.0500000000000005,0.55,0.03,0.33,0.14,2012,726,2,1348,871
Cosmic Ark,7.101890450799806,1.05,0.99,0.0,0.05,0.01,1982,4,4,126,1485
MySims Agents,7.5,1.05,0.63,0.0,0.32,0.1,2009,843,58,1357,1893
Resident Evil: The Darkside Chronicles,7.2,1.06,0.46,0.2,0.31,0.09,2009,437,1,1357,1485
Dora the Explorer: Dora Saves the Mermaids,7.101890450799806,1.06,0.97,0.0,0.01,0.08,2007,36,41,2395,951
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,8.2,1.05,0.81,0.0,0.11,0.13,2006,568,9,1340,1485
Call of Duty 4: Modern Warfare,7.3,1.06,0.95,0.01,0.02,0.08,2007,1044,32,2395,1485
Defender,7.101890450799806,1.05,0.99,0.0,0.05,0.01,1981,335,72,126,1485
Arc the Lad II,7.101890450799806,1.05,0.0,0.92,0.0,0.13,1996,568,2,1130,1490
Brink,6.8,1.04,0.59,0.01,0.35,0.09,2011,113,4,1302,1485
Dance on Broadway,7.101890450799806,1.04,0.27,0.0,0.65,0.12,2010,1012,9,1357,2003
Prey (2017),7.101890450799806,1.05,0.25,0.02,0.62,0.16,2017,113,13,908,1485
Mega Man X4,7.101890450799806,1.04,0.45,0.22,0.3,0.07,1997,437,294,1130,951
Disney Infinity 2.0: Marvel Super Heroes,7.101890450799806,1.04,0.52,0.0,0.34,0.18,2014,199,69,1348,264
ZhuZhu Pets,7.101890450799806,1.04,0.68,0.0,0.27,0.09,2010,1044,41,2395,1121
Aliens vs Predator,6.1,1.05,0.41,0.0,0.46,0.18,2010,640,51,1348,1485
Sleeping Dogs,8.1,1.04,0.31,0.05,0.5,0.17,2012,209,6,1348,264
Legacy of Kain: Soul Reaver,8.9,1.05,0.58,0.0,0.4,0.07,1999,209,45,1130,1893
Diablo III: Ultimate Evil Edition,7.101890450799806,1.04,0.62,0.0,0.32,0.09,2014,12,10,524,1490
Need for Speed: Most Wanted,8.5,1.04,0.53,0.0,0.46,0.05,2005,843,292,836,1431
MVP Baseball 2003,7.101890450799806,1.04,0.51,0.0,0.4,0.13,2003,540,45,2125,2596
WipEout Pure,9.1,1.04,0.47,0.0,0.34,0.23,2005,568,9,1340,1431
The Simpsons Game,6.9,1.04,0.54,0.0,0.39,0.11,2007,843,58,1302,951
ATV: Quad Power Racing,7.101890450799806,1.04,0.58,0.0,0.39,0.07,2000,195,50,1130,1431
Bomberman 64,6.1,1.04,0.5,0.31,0.2,0.03,1997,85,106,278,723
Jeremy McGrath Supercross 98,7.101890450799806,1.04,0.91,0.0,0.1,0.03,1998,195,28,1130,1431
MotorStorm: Arctic Edge,7.7,1.04,0.16,0.0,0.58,0.3,2009,568,4,1340,1431
Naruto: Clash of Ninja 2,7.4,1.04,0.44,0.45,0.12,0.03,2006,195,7,528,871
LEGO Pirates of the Caribbean: The Video Game,7.2,1.04,0.54,0.0,0.4,0.1,2011,199,152,1302,2839
WWE SmackDown vs. Raw 2010,8.2,1.04,0.56,0.01,0.37,0.1,2009,726,10,1302,871
Dance Dance Revolution SuperNOVA,7.101890450799806,1.04,0.87,0.0,0.03,0.14,2006,769,43,2125,1121
MX vs. ATV Unleashed,7.101890450799806,1.03,0.86,0.0,0.03,0.14,2005,726,51,2125,1431
Just Dance 2014,7.6,1.03,0.75,0.0,0.18,0.1,2013,1012,67,1302,147
Sonic Unleashed,5.3,1.0300000000000002,0.56,0.01,0.32,0.14,2008,640,60,1348,951
Bomberman,7.101890450799806,1.03,0.18,0.85,0.0,0.0,1989,85,106,48,723
Tom Clancy's Ghost Recon Advanced Warfighter 2,7.101890450799806,1.03,0.34,0.02,0.48,0.19,2007,1012,1,1348,1485
Junior Brain Trainer,7.101890450799806,1.03,0.23,0.0,0.71,0.09,2009,53,4,2395,2003
The Elder Scrolls III: Morrowind Game of the Year Edition,8.3,1.03,0.77,0.0,0.22,0.04,2003,113,31,836,1490
Tomb Raider,8.7,1.03,0.96,0.0,0.07,0.0,1996,209,24,1560,2839
NCAA March Madness 2004,7.101890450799806,1.03,0.5,0.0,0.39,0.13,2003,540,9,2125,2596
Guinness World Records: The Videogame,7.101890450799806,1.04,0.46,0.0,0.47,0.11,2008,126,152,1357,2839
FIFA Soccer 08,7.101890450799806,1.04,0.32,0.01,0.59,0.12,2007,540,292,1357,2596
Dragon Ball Z: Budokai Tenkaichi 3,7.5,1.03,0.32,0.26,0.36,0.08,2007,335,1,1357,871
LEGO Indiana Jones: The Original Adventures,7.7,1.04,0.44,0.0,0.43,0.17,2008,138,152,1348,1893
Disney Fairies: Tinker Bell and the Lost Treasure,7.101890450799806,1.04,0.57,0.02,0.35,0.1,2009,199,3,2395,1893
Petz: Catz 2,7.101890450799806,1.02,0.51,0.0,0.4,0.11,2007,1012,22,2395,1121
Shrek 2,6.9,1.03,0.73,0.01,0.26,0.03,2004,1044,8,528,951
Dead Space 3,7.101890450799806,1.02,0.45,0.0,0.4,0.17,2013,843,12,1348,1485
Assassin's Creed: Rogue,7.101890450799806,1.02,0.59,0.0,0.34,0.09,2014,1012,4,1302,2839
The Lost World: Jurassic Park,7.101890450799806,1.03,0.57,0.0,0.39,0.07,1997,843,6,1130,2839
Bulletstorm,8.5,1.02,0.61,0.01,0.32,0.08,2011,843,8,1302,1485
Tiger Woods PGA Tour 08,7.4,1.02,0.93,0.0,0.01,0.08,2007,843,17,1357,2596
Pokémon Conquest,7.101890450799806,1.03,0.56,0.37,0.05,0.05,2012,383,25,2395,1490
Madden NFL 07,8.4,1.03,0.97,0.0,0.03,0.03,2006,540,193,836,2596
The Elder Scrolls Online,7.101890450799806,1.02,0.35,0.0,0.59,0.08,2014,113,9,1560,30
LEGO Indiana Jones 2: The Adventure Continues,7.101890450799806,1.02,0.62,0.0,0.31,0.09,2009,138,152,1302,1893
Harry Potter and the Prisoner of Azkaban,7.101890450799806,1.02,0.5,0.0,0.39,0.13,2004,843,63,2125,1893
Wall-E,7.101890450799806,1.02,0.51,0.0,0.4,0.11,2008,726,35,1357,951
Rock Band 2,9.0,1.02,0.93,0.0,0.01,0.08,2008,44,62,1357,2003
LEGO Jurassic World,7.101890450799806,1.02,0.36,0.0,0.49,0.17,2015,166,152,1348,2839
Naruto: Clash of Ninja Revolution,7.101890450799806,1.02,0.44,0.0,0.46,0.11,2007,15,1,1357,871
Just Cause 3,7.0,1.02,0.52,0.0,0.41,0.09,2015,209,13,524,264
NBA 2K16,7.101890450799806,1.02,0.86,0.0,0.05,0.11,2015,183,134,1302,2596
LEGO Marvel's Avengers,7.101890450799806,1.01,0.31,0.01,0.53,0.16,2016,166,152,908,2839
LEGO Jurassic World,7.101890450799806,1.01,0.51,0.0,0.41,0.09,2015,166,152,1302,2839
LEGO Harry Potter: Years 5-7,7.101890450799806,1.01,0.51,0.0,0.41,0.09,2011,126,152,1302,2839
Evolve,7.101890450799806,1.01,0.38,0.05,0.41,0.16,2015,121,2,908,1485
Madden NFL 16,8.0,1.01,0.88,0.0,0.02,0.11,2015,540,193,1302,2596
Pong: The Next Level,7.101890450799806,1.01,0.56,0.0,0.38,0.07,1999,20,14,1130,723
MLB 15: The Show,7.101890450799806,1.02,0.75,0.0,0.08,0.19,2015,19,31,908,2596
Championship Manager 3,7.101890450799806,1.01,0.0,0.0,0.93,0.08,2003,209,23,1560,2596
F1 2012,7.9,1.01,0.12,0.05,0.65,0.18,2012,168,21,1348,1431
Prince of Persia,8.2,1.01,0.54,0.02,0.34,0.1,2008,1012,172,1302,1893
NBA Jam Tournament Edition,7.101890450799806,1.01,0.87,0.0,0.12,0.02,1995,195,21,197,2596
NBA 2K10,8.4,1.01,0.91,0.0,0.02,0.08,2009,183,134,1302,2596
The Simpsons Game,7.101890450799806,1.02,0.45,0.0,0.46,0.11,2007,843,58,1357,951
Steep,7.101890450799806,1.01,0.23,0.02,0.6,0.15,2016,1012,2,908,2596
EyePet,6.9,1.02,0.37,0.04,0.52,0.09,2010,568,59,1348,1121
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),7.101890450799806,1.0,0.08,0.02,0.9,0.0,2007,769,43,1302,2596
PES 2009: Pro Evolution Soccer,7.101890450799806,1.01,0.13,0.03,0.76,0.09,2008,769,409,1302,2596
NFL GameDay 2001,7.101890450799806,1.01,0.56,0.0,0.38,0.07,2000,568,35,1130,2596
NBA Live 97,7.101890450799806,1.0,0.55,0.0,0.38,0.07,1996,540,63,1130,2596
Excitebike 64,8.9,1.0,0.65,0.19,0.15,0.01,2000,383,20,278,1431
Dynasty Warriors 3: Xtreme Legends,7.101890450799806,1.0,0.13,0.74,0.1,0.03,2003,158,145,2125,2839
Far Cry: Primal,7.8,1.01,0.51,0.0,0.41,0.09,2016,1012,172,524,264
Rayman Origins,8.5,1.0,0.33,0.01,0.5,0.16,2011,1012,196,1348,951
Breath of Fire III,7.6,1.01,0.29,0.46,0.19,0.07,1998,437,294,1130,1490
Road & Track Presents: The Need for Speed,7.101890450799806,1.01,0.56,0.0,0.38,0.07,1996,843,292,1130,1431
1942,7.101890450799806,1.0,0.65,0.21,0.14,0.0,1986,437,294,48,1485
Just Dance 2017,7.101890450799806,1.0,0.4,0.0,0.51,0.08,2016,1012,67,1357,147
Ford Racing 2,7.101890450799806,1.0,0.49,0.0,0.38,0.13,2003,21,15,2125,1431
Guitar Hero: Aerosmith,7.101890450799806,1.0,0.73,0.0,0.15,0.11,2008,1044,5,1348,2003
Jampack Winter 2000,7.101890450799806,1.0,0.55,0.0,0.38,0.07,2000,568,29,1130,2003
Dead Space 3,7.101890450799806,1.0,0.64,0.0,0.27,0.09,2013,843,12,1302,1485
Tom Clancy's Splinter Cell: Blacklist,8.4,1.0,0.57,0.01,0.33,0.09,2013,1012,6,1302,264
NERF N-Strike Elite,7.5,1.0,0.93,0.0,0.0,0.07,2009,843,17,1357,1485
NCAA Football 12,7.8,1.0,0.94,0.0,0.0,0.06,2011,540,193,1302,2596
SoulCalibur II,7.101890450799806,1.0,0.78,0.03,0.18,0.0,2003,175,114,836,871
UFC Undisputed 3,7.101890450799806,1.0,0.72,0.0,0.2,0.08,2012,726,2,1302,871
Dead or Alive 2,7.101890450799806,1.0,0.3,0.38,0.24,0.08,2000,57,22,2125,871
Puzzler Collection,7.101890450799806,0.99,0.16,0.0,0.78,0.04,2008,22,8,2395,723
Dragon Age: Inquisition,7.101890450799806,0.99,0.63,0.0,0.27,0.09,2014,843,10,524,1490
